================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage1.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 0 | Distance: 2.28m | Steps: 29
Episode 2/12000 | Goals: 0 | Distance: 3.25m | Steps: 41
Episode 3/12000 | Goals: 0 | Distance: 3.97m | Steps: 50
Episode 4/12000 | Goals: 0 | Distance: 1.38m | Steps: 18
Episode 5/12000 | Goals: 0 | Distance: 2.30m | Steps: 29
Episode 6/12000 | Goals: 0 | Distance: 3.19m | Steps: 40
Episode 7/12000 | Goals: 0 | Distance: 1.21m | Steps: 16
Episode 8/12000 | Goals: 0 | Distance: 1.75m | Steps: 23
Episode 9/12000 | Goals: 0 | Distance: 1.13m | Steps: 15
Episode 10/12000 | Goals: 0 | Distance: 0.74m | Steps: 10
Episode 11/12000 | Goals: 0 | Distance: 0.90m | Steps: 12
Episode 12/12000 | Goals: 0 | Distance: 1.22m | Steps: 16
Episode 13/12000 | Goals: 0 | Distance: 2.86m | Steps: 36
Episode 14/12000 | Goals: 0 | Distance: 1.05m | Steps: 14
Episode 15/12000 | Goals: 0 | Distance: 0.82m | Steps: 11
Episode 16/12000 | Goals: 0 | Distance: 4.38m | Steps: 55
Episode 17/12000 | Goals: 0 | Distance: 1.87m | Steps: 24
Episode 18/12000 | Goals: 1 | Distance: 0.82m | Steps: 11
Episode 19/12000 | Goals: 0 | Distance: 3.09m | Steps: 39
Episode 20/12000 | Goals: 0 | Distance: 0.83m | Steps: 11
Episode 21/12000 | Goals: 0 | Distance: 1.37m | Steps: 18
Episode 22/12000 | Goals: 0 | Distance: 4.28m | Steps: 54
Episode 23/12000 | Goals: 0 | Distance: 4.03m | Steps: 51
Episode 24/12000 | Goals: 0 | Distance: 2.30m | Steps: 29
Episode 25/12000 | Goals: 0 | Distance: 0.81m | Steps: 11
Episode 26/12000 | Goals: 0 | Distance: 4.40m | Steps: 55
Episode 27/12000 | Goals: 1 | Distance: 2.29m | Steps: 29
Episode 28/12000 | Goals: 0 | Distance: 0.90m | Steps: 12
Episode 29/12000 | Goals: 0 | Distance: 2.76m | Steps: 35
Episode 30/12000 | Goals: 0 | Distance: 2.04m | Steps: 26
Episode 31/12000 | Goals: 0 | Distance: 0.74m | Steps: 10
Episode 32/12000 | Goals: 0 | Distance: 1.06m | Steps: 14
Episode 33/12000 | Goals: 0 | Distance: 3.04m | Steps: 39
Episode 34/12000 | Goals: 0 | Distance: 4.69m | Steps: 59
Episode 35/12000 | Goals: 1 | Distance: 1.06m | Steps: 14
Episode 36/12000 | Goals: 2 | Distance: 5.99m | Steps: 75
Episode 37/12000 | Goals: 0 | Distance: 0.91m | Steps: 12
Episode 38/12000 | Goals: 0 | Distance: 2.29m | Steps: 29
Episode 39/12000 | Goals: 0 | Distance: 0.89m | Steps: 12
Episode 40/12000 | Goals: 0 | Distance: 1.05m | Steps: 14
Episode 41/12000 | Goals: 2 | Distance: 3.48m | Steps: 44
Episode 42/12000 | Goals: 0 | Distance: 0.80m | Steps: 11
Episode 43/12000 | Goals: 0 | Distance: 0.89m | Steps: 12
Episode 44/12000 | Goals: 0 | Distance: 1.06m | Steps: 14
Episode 45/12000 | Goals: 0 | Distance: 0.79m | Steps: 11
