================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage5_raw.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 3 | Distance: 16.79m | Steps: 208
Episode 2/12000 | Goals: 3 | Distance: 10.61m | Steps: 132
Episode 3/12000 | Goals: 1 | Distance: 6.50m | Steps: 81
Episode 4/12000 | Goals: 0 | Distance: 4.26m | Steps: 54
Episode 5/12000 | Goals: 0 | Distance: 1.94m | Steps: 25
Episode 6/12000 | Goals: 2 | Distance: 13.66m | Steps: 169
Episode 7/12000 | Goals: 2 | Distance: 9.45m | Steps: 118
Episode 8/12000 | Goals: 1 | Distance: 6.38m | Steps: 80
Episode 9/12000 | Goals: 1 | Distance: 4.72m | Steps: 59
Episode 10/12000 | Goals: 0 | Distance: 1.51m | Steps: 20
Episode 11/12000 | Goals: 0 | Distance: 1.45m | Steps: 19
Episode 12/12000 | Goals: 0 | Distance: 2.17m | Steps: 28
Episode 13/12000 | Goals: 1 | Distance: 6.01m | Steps: 76
Episode 14/12000 | Goals: 2 | Distance: 6.13m | Steps: 76
