================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage1.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 0 | Distance: 2.93m | Steps: 37
Episode 2/12000 | Goals: 1 | Distance: 4.31m | Steps: 54
Episode 3/12000 | Goals: 2 | Distance: 8.87m | Steps: 111
Episode 4/12000 | Goals: 0 | Distance: 1.14m | Steps: 15
Episode 5/12000 | Goals: 1 | Distance: 5.47m | Steps: 69
Episode 6/12000 | Goals: 1 | Distance: 4.73m | Steps: 59
Episode 7/12000 | Goals: 0 | Distance: 0.71m | Steps: 10
Episode 8/12000 | Goals: 1 | Distance: 2.15m | Steps: 28
Episode 9/12000 | Goals: 0 | Distance: 1.61m | Steps: 21
Episode 10/12000 | Goals: 4 | Distance: 14.83m | Steps: 185
Episode 11/12000 | Goals: 0 | Distance: 2.85m | Steps: 36
Episode 12/12000 | Goals: 0 | Distance: 2.06m | Steps: 26
Episode 13/12000 | Goals: 0 | Distance: 4.15m | Steps: 52
Episode 14/12000 | Goals: 0 | Distance: 3.01m | Steps: 38
Episode 15/12000 | Goals: 2 | Distance: 8.27m | Steps: 103
Episode 16/12000 | Goals: 0 | Distance: 0.90m | Steps: 12
Episode 17/12000 | Goals: 0 | Distance: 2.82m | Steps: 36
Episode 18/12000 | Goals: 0 | Distance: 4.70m | Steps: 59
Episode 19/12000 | Goals: 2 | Distance: 4.68m | Steps: 58
Episode 20/12000 | Goals: 1 | Distance: 0.89m | Steps: 12
Episode 21/12000 | Goals: 0 | Distance: 0.81m | Steps: 11
Episode 22/12000 | Goals: 0 | Distance: 4.29m | Steps: 54
Episode 23/12000 | Goals: 3 | Distance: 5.45m | Steps: 68
Episode 24/12000 | Goals: 0 | Distance: 0.81m | Steps: 11
Episode 25/12000 | Goals: 0 | Distance: 0.80m | Steps: 11
Episode 26/12000 | Goals: 0 | Distance: 2.04m | Steps: 26
Episode 27/12000 | Goals: 0 | Distance: 1.05m | Steps: 14
Episode 28/12000 | Goals: 1 | Distance: 3.02m | Steps: 38
Episode 29/12000 | Goals: 2 | Distance: 6.04m | Steps: 76
Episode 30/12000 | Goals: 1 | Distance: 3.08m | Steps: 39
Episode 31/12000 | Goals: 1 | Distance: 3.34m | Steps: 42
Episode 32/12000 | Goals: 0 | Distance: 4.52m | Steps: 57
Episode 33/12000 | Goals: 0 | Distance: 0.80m | Steps: 11
Episode 34/12000 | Goals: 0 | Distance: 2.10m | Steps: 27
Episode 35/12000 | Goals: 0 | Distance: 1.05m | Steps: 14
Episode 36/12000 | Goals: 0 | Distance: 2.18m | Steps: 28
Episode 37/12000 | Goals: 0 | Distance: 4.61m | Steps: 58
Episode 38/12000 | Goals: 1 | Distance: 0.95m | Steps: 13
Episode 39/12000 | Goals: 0 | Distance: 0.35m | Steps: 6
