================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage5_raw.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 0 | Distance: 4.64m | Steps: 58
Episode 2/12000 | Goals: 3 | Distance: 13.82m | Steps: 169
Episode 3/12000 | Goals: 0 | Distance: 4.41m | Steps: 54
Episode 4/12000 | Goals: 0 | Distance: 1.06m | Steps: 14
Episode 5/12000 | Goals: 0 | Distance: 0.92m | Steps: 12
Episode 6/12000 | Goals: 0 | Distance: 0.79m | Steps: 11
Episode 7/12000 | Goals: 1 | Distance: 3.39m | Steps: 43
Episode 8/12000 | Goals: 2 | Distance: 4.31m | Steps: 54
Episode 9/12000 | Goals: 1 | Distance: 4.25m | Steps: 54
Episode 10/12000 | Goals: 1 | Distance: 7.02m | Steps: 87
Episode 11/12000 | Goals: 1 | Distance: 6.29m | Steps: 78
Episode 12/12000 | Goals: 3 | Distance: 16.34m | Steps: 202
Episode 13/12000 | Goals: 1 | Distance: 7.32m | Steps: 91
Episode 14/12000 | Goals: 0 | Distance: 8.25m | Steps: 103
Episode 15/12000 | Goals: 3 | Distance: 8.90m | Steps: 111
Episode 16/12000 | Goals: 0 | Distance: 0.89m | Steps: 12
Episode 17/12000 | Goals: 0 | Distance: 1.69m | Steps: 22
Episode 18/12000 | Goals: 0 | Distance: 4.69m | Steps: 59
Episode 19/12000 | Goals: 0 | Distance: 0.79m | Steps: 11
Episode 20/12000 | Goals: 0 | Distance: 11.71m | Steps: 146
Episode 21/12000 | Goals: 0 | Distance: 2.15m | Steps: 27
Episode 22/12000 | Goals: 0 | Distance: 3.23m | Steps: 41
Episode 23/12000 | Goals: 1 | Distance: 3.27m | Steps: 41
Episode 24/12000 | Goals: 0 | Distance: 0.86m | Steps: 12
Episode 25/12000 | Goals: 0 | Distance: 2.19m | Steps: 29
Episode 26/12000 | Goals: 0 | Distance: 1.61m | Steps: 21
Episode 27/12000 | Goals: 3 | Distance: 11.57m | Steps: 144
Episode 28/12000 | Goals: 0 | Distance: 1.97m | Steps: 25
Episode 29/12000 | Goals: 3 | Distance: 5.37m | Steps: 67
Episode 30/12000 | Goals: 3 | Distance: 12.47m | Steps: 155
Episode 31/12000 | Goals: 3 | Distance: 8.99m | Steps: 112
Episode 32/12000 | Goals: 0 | Distance: 1.48m | Steps: 19
Episode 33/12000 | Goals: 0 | Distance: 7.73m | Steps: 96
Episode 34/12000 | Goals: 3 | Distance: 6.70m | Steps: 83
Episode 35/12000 | Goals: 0 | Distance: 1.70m | Steps: 22
Episode 36/12000 | Goals: 0 | Distance: 2.58m | Steps: 33
Episode 37/12000 | Goals: 3 | Distance: 13.72m | Steps: 172
Episode 38/12000 | Goals: 0 | Distance: 2.79m | Steps: 35
Episode 39/12000 | Goals: 1 | Distance: 10.99m | Steps: 138
Episode 40/12000 | Goals: 1 | Distance: 9.33m | Steps: 116
