================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage5_raw.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 2 | Distance: 11.97m | Steps: 149
Episode 2/12000 | Goals: 3 | Distance: 13.83m | Steps: 172
Episode 3/12000 | Goals: 0 | Distance: 2.69m | Steps: 34
Episode 4/12000 | Goals: 2 | Distance: 9.63m | Steps: 121
Episode 5/12000 | Goals: 2 | Distance: 9.22m | Steps: 114
Episode 6/12000 | Goals: 2 | Distance: 12.68m | Steps: 159
Episode 7/12000 | Goals: 0 | Distance: 1.05m | Steps: 14
Episode 8/12000 | Goals: 0 | Distance: 2.51m | Steps: 32
Episode 9/12000 | Goals: 0 | Distance: 1.31m | Steps: 18
Episode 10/12000 | Goals: 1 | Distance: 10.35m | Steps: 129
Episode 11/12000 | Goals: 0 | Distance: 2.79m | Steps: 35
Episode 12/12000 | Goals: 0 | Distance: 0.97m | Steps: 13
Episode 13/12000 | Goals: 0 | Distance: 3.99m | Steps: 50
Episode 14/12000 | Goals: 1 | Distance: 6.32m | Steps: 79
Episode 15/12000 | Goals: 2 | Distance: 9.28m | Steps: 116
Episode 16/12000 | Goals: 0 | Distance: 2.71m | Steps: 35
Episode 17/12000 | Goals: 1 | Distance: 3.13m | Steps: 39
Episode 18/12000 | Goals: 4 | Distance: 10.16m | Steps: 125
Episode 19/12000 | Goals: 0 | Distance: 0.82m | Steps: 11
Episode 20/12000 | Goals: 1 | Distance: 7.35m | Steps: 91
Episode 21/12000 | Goals: 0 | Distance: 3.73m | Steps: 47
Episode 22/12000 | Goals: 3 | Distance: 12.31m | Steps: 154
